tamanho,cenario,tempo_ms
1000,Melhor,0.00000000
1000,Melhor,0.01125000
1000,Melhor,0.00000000
1000,Melhor,0.01089000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.01449000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.01452000
1000,Melhor,0.00546000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.01063000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.01440000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.00000000
1000,Melhor,0.01567000
1000,Medio,0.00337000
1000,Medio,0.00000000
1000,Medio,0.00995000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.00997000
1000,Medio,0.00000000
1000,Medio,0.01428000
1000,Medio,0.00000000
1000,Medio,0.01025000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.01217000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.01299000
1000,Medio,0.00000000
1000,Medio,0.01001000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.00509000
1000,Medio,0.00000000
1000,Medio,0.01449000
1000,Medio,0.00000000
1000,Medio,0.01236000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Medio,0.00000000
1000,Pior,0.01477000
1000,Pior,0.00000000
1000,Pior,0.00000000
1000,Pior,0.01182000
1000,Pior,0.00000000
1000,Pior,0.01055000
1000,Pior,0.00000000
1000,Pior,0.00000000
1000,Pior,0.01039000
1000,Pior,0.00000000
1000,Pior,0.01238000
1000,Pior,0.00000000
1000,Pior,0.00000000
1000,Pior,0.01504000
1000,Pior,0.00000000
1000,Pior,0.00999000
1000,Pior,0.01425000
1000,Pior,0.01429000
1000,Pior,0.00000000
1000,Pior,0.00000000
1000,Pior,0.01052000
1000,Pior,0.00000000
1000,Pior,0.01481000
1000,Pior,0.00000000
1000,Pior,0.00000000
1000,Pior,0.01248000
1000,Pior,0.00000000
1000,Pior,0.00000000
1000,Pior,0.01005000
1000,Pior,0.00000000
10000,Melhor,0.05644000
10000,Melhor,0.07197000
10000,Melhor,0.02448000
10000,Melhor,0.11072000
10000,Melhor,0.05793000
10000,Melhor,0.07872000
10000,Melhor,0.07350000
10000,Melhor,0.07626000
10000,Melhor,0.04673000
10000,Melhor,0.08391000
10000,Melhor,0.05665000
10000,Melhor,0.07585000
10000,Melhor,0.03340000
10000,Melhor,0.05390000
10000,Melhor,0.05263000
10000,Melhor,0.04146000
10000,Melhor,0.01321000
10000,Melhor,0.08560000
10000,Melhor,0.04048000
10000,Melhor,0.03786000
10000,Melhor,0.04068000
10000,Melhor,0.03554000
10000,Melhor,0.04466000
10000,Melhor,0.04694000
10000,Melhor,0.03915000
10000,Melhor,0.05344000
10000,Melhor,0.02626000
10000,Melhor,0.02669000
10000,Melhor,0.06487000
10000,Melhor,0.05131000
10000,Medio,0.05697000
10000,Medio,0.05678000
10000,Medio,0.06266000
10000,Medio,0.05899000
10000,Medio,0.06387000
10000,Medio,0.07297000
10000,Medio,0.07086000
10000,Medio,0.04985000
10000,Medio,0.10322000
10000,Medio,0.08642000
10000,Medio,0.06576000
10000,Medio,0.06609000
10000,Medio,0.05746000
10000,Medio,0.08150000
10000,Medio,0.04109000
10000,Medio,0.07551000
10000,Medio,0.06642000
10000,Medio,0.05108000
10000,Medio,0.09269000
10000,Medio,0.04235000
10000,Medio,0.06722000
10000,Medio,0.06010000
10000,Medio,0.05028000
10000,Medio,0.06923000
10000,Medio,0.03083000
10000,Medio,0.08594000
10000,Medio,0.07311000
10000,Medio,0.05355000
10000,Medio,0.06628000
10000,Medio,0.06648000
10000,Pior,0.04232000
10000,Pior,0.03213000
10000,Pior,0.06544000
10000,Pior,0.03664000
10000,Pior,0.02086000
10000,Pior,0.05676000
10000,Pior,0.05320000
10000,Pior,0.03143000
10000,Pior,0.03061000
10000,Pior,0.04419000
10000,Pior,0.04993000
10000,Pior,0.05233000
10000,Pior,0.03729000
10000,Pior,0.04273000
10000,Pior,0.05481000
10000,Pior,0.03415000
10000,Pior,0.01851000
10000,Pior,0.07124000
10000,Pior,0.03989000
10000,Pior,0.05061000
10000,Pior,0.04091000
10000,Pior,0.06313000
10000,Pior,0.05358000
10000,Pior,0.02917000
10000,Pior,0.05692000
10000,Pior,0.02741000
10000,Pior,0.02606000
10000,Pior,0.04981000
10000,Pior,0.05278000
10000,Pior,0.04172000
100000,Melhor,0.26861000
100000,Melhor,0.43566000
100000,Melhor,0.46874000
100000,Melhor,0.37597000
100000,Melhor,0.43729000
100000,Melhor,0.33130000
100000,Melhor,0.41840000
100000,Melhor,0.37064000
100000,Melhor,0.35400000
100000,Melhor,0.33554000
100000,Melhor,0.35549000
100000,Melhor,0.48758000
100000,Melhor,0.35020000
100000,Melhor,0.41682000
100000,Melhor,0.38639000
100000,Melhor,0.35036000
100000,Melhor,0.33117000
100000,Melhor,0.33994000
100000,Melhor,0.43324000
100000,Melhor,0.34566000
100000,Melhor,0.37468000
100000,Melhor,0.32614000
100000,Melhor,0.38015000
100000,Melhor,0.37128000
100000,Melhor,0.37569000
100000,Melhor,0.33390000
100000,Melhor,0.36310000
100000,Melhor,0.30188000
100000,Melhor,0.29548000
100000,Melhor,0.54052000
100000,Medio,0.77712000
100000,Medio,0.67546000
100000,Medio,0.68593000
100000,Medio,0.64956000
100000,Medio,0.67115000
100000,Medio,0.68022000
100000,Medio,0.68898000
100000,Medio,0.66679000
100000,Medio,0.66797000
100000,Medio,0.68793000
100000,Medio,0.67498000
100000,Medio,0.68873000
100000,Medio,0.70321000
100000,Medio,0.65371000
100000,Medio,0.65669000
100000,Medio,0.67512000
100000,Medio,0.67779000
100000,Medio,0.65066000
100000,Medio,0.66274000
100000,Medio,0.65139000
100000,Medio,0.68986000
100000,Medio,0.65567000
100000,Medio,0.67817000
100000,Medio,1.33222000
100000,Medio,0.69307000
100000,Medio,0.68225000
100000,Medio,0.67985000
100000,Medio,0.67015000
100000,Medio,0.66850000
100000,Medio,0.67904000
100000,Pior,0.39362000
100000,Pior,0.31730000
100000,Pior,0.52139000
100000,Pior,0.39264000
100000,Pior,0.33596000
100000,Pior,0.40250000
100000,Pior,0.37068000
100000,Pior,0.39610000
100000,Pior,0.36408000
100000,Pior,0.37162000
100000,Pior,0.41104000
100000,Pior,0.40225000
100000,Pior,0.37308000
100000,Pior,0.39402000
100000,Pior,0.36715000
100000,Pior,0.38798000
100000,Pior,0.33031000
100000,Pior,0.39287000
100000,Pior,0.33158000
100000,Pior,0.34437000
100000,Pior,0.34819000
100000,Pior,0.34518000
100000,Pior,0.37457000
100000,Pior,0.35133000
100000,Pior,0.41417000
100000,Pior,0.41217000
100000,Pior,0.53065000
100000,Pior,0.43062000
100000,Pior,0.44626000
100000,Pior,0.41218000
