tamanho,cenario,tempo_ms
1000,Melhor,0.31133900
1000,Melhor,0.25099400
1000,Melhor,0.22749400
1000,Melhor,0.24844800
1000,Melhor,0.20250000
1000,Melhor,0.20553500
1000,Melhor,0.21058000
1000,Melhor,0.21168700
1000,Melhor,0.20310600
1000,Melhor,0.25624500
1000,Melhor,0.20929300
1000,Melhor,0.23861100
1000,Melhor,0.20442200
1000,Melhor,0.21853000
1000,Melhor,0.21278400
1000,Melhor,0.20992900
1000,Melhor,0.21951200
1000,Melhor,0.21433400
1000,Melhor,0.20297700
1000,Melhor,0.21085200
1000,Melhor,0.23127600
1000,Melhor,0.20786600
1000,Melhor,0.20394600
1000,Melhor,0.20269300
1000,Melhor,0.21294800
1000,Melhor,0.21172100
1000,Melhor,0.20456100
1000,Melhor,0.21361900
1000,Melhor,0.22147200
1000,Melhor,0.25281300
1000,Medio,0.35658900
1000,Medio,0.23943300
1000,Medio,0.22053800
1000,Medio,0.22432500
1000,Medio,0.23998500
1000,Medio,0.33772900
1000,Medio,1.18524300
1000,Medio,0.63478200
1000,Medio,0.29775800
1000,Medio,0.47546100
1000,Medio,0.73966800
1000,Medio,0.25913200
1000,Medio,0.24079400
1000,Medio,0.24634500
1000,Medio,0.23528000
1000,Medio,0.23589800
1000,Medio,0.24792300
1000,Medio,0.24049700
1000,Medio,0.22912100
1000,Medio,0.26572800
1000,Medio,0.30023300
1000,Medio,0.28187600
1000,Medio,0.25346100
1000,Medio,0.25623600
1000,Medio,0.26314600
1000,Medio,0.27619300
1000,Medio,0.26402100
1000,Medio,0.25119900
1000,Medio,0.26549200
1000,Medio,0.27967000
1000,Pior,0.22678700
1000,Pior,0.22806800
1000,Pior,0.23071400
1000,Pior,0.22494800
1000,Pior,0.22048900
1000,Pior,0.21933700
1000,Pior,0.29531800
1000,Pior,0.24373000
1000,Pior,0.27255300
1000,Pior,0.28201900
1000,Pior,0.25074000
1000,Pior,0.24403200
1000,Pior,0.23947500
1000,Pior,0.30490800
1000,Pior,0.26101000
1000,Pior,0.25315200
1000,Pior,0.34751900
1000,Pior,0.44336200
1000,Pior,0.37404900
1000,Pior,0.34576400
1000,Pior,0.32520000
1000,Pior,0.34512900
1000,Pior,0.31034400
1000,Pior,0.36682300
1000,Pior,0.35781700
1000,Pior,0.36228100
1000,Pior,0.37034600
1000,Pior,0.33195600
1000,Pior,0.23037400
1000,Pior,0.22848300
10000,Melhor,2.48759600
10000,Melhor,2.69007900
10000,Melhor,2.27358200
10000,Melhor,2.26517300
10000,Melhor,2.37737800
10000,Melhor,2.37399100
10000,Melhor,2.30578600
10000,Melhor,2.27065200
10000,Melhor,2.28288800
10000,Melhor,2.32151700
10000,Melhor,2.55749300
10000,Melhor,2.30688700
10000,Melhor,2.31417200
10000,Melhor,2.39582100
10000,Melhor,2.47381900
10000,Melhor,2.48375500
10000,Melhor,2.57859800
10000,Melhor,2.65898800
10000,Melhor,2.42921600
10000,Melhor,2.53302700
10000,Melhor,2.26772100
10000,Melhor,2.30754600
10000,Melhor,2.29827600
10000,Melhor,2.27768600
10000,Melhor,2.46131400
10000,Melhor,2.78755000
10000,Melhor,2.73463900
10000,Melhor,2.72765100
10000,Melhor,2.79699300
10000,Melhor,2.29925600
10000,Medio,2.55545100
10000,Medio,2.89229500
10000,Medio,2.38965200
10000,Medio,2.39367700
10000,Medio,2.39909500
10000,Medio,2.37446800
10000,Medio,2.65541000
10000,Medio,2.60164300
10000,Medio,2.47300700
10000,Medio,2.40220000
10000,Medio,2.42060400
10000,Medio,2.41266300
10000,Medio,2.39148200
10000,Medio,2.40037600
10000,Medio,2.35710400
10000,Medio,2.61583500
10000,Medio,3.25209700
10000,Medio,4.20306800
10000,Medio,5.69057700
10000,Medio,4.34638500
10000,Medio,4.48824000
10000,Medio,3.36461900
10000,Medio,4.36829600
10000,Medio,4.25749900
10000,Medio,4.30228100
10000,Medio,3.31150100
10000,Medio,2.78873700
10000,Medio,2.40426800
10000,Medio,2.42282100
10000,Medio,2.56585600
10000,Pior,2.30344400
10000,Pior,2.28831700
10000,Pior,2.26315100
10000,Pior,2.28909800
10000,Pior,2.31348400
10000,Pior,2.57546500
10000,Pior,2.33852100
10000,Pior,2.32759500
10000,Pior,2.29469500
10000,Pior,2.29038100
10000,Pior,2.33283900
10000,Pior,2.35091400
10000,Pior,2.35680900
10000,Pior,2.25732000
10000,Pior,2.51630600
10000,Pior,2.65048600
10000,Pior,3.17071100
10000,Pior,3.27769000
10000,Pior,3.05206300
10000,Pior,2.79297800
10000,Pior,2.49600100
10000,Pior,2.41311900
10000,Pior,2.58909700
10000,Pior,4.81559600
10000,Pior,2.67340100
10000,Pior,2.30718800
10000,Pior,2.89717500
10000,Pior,3.73560500
10000,Pior,2.98990500
10000,Pior,2.76272100
100000,Melhor,30.55997500
100000,Melhor,30.31879200
100000,Melhor,30.79265800
100000,Melhor,26.66094000
100000,Melhor,26.81304300
100000,Melhor,27.66398000
100000,Melhor,28.75286100
100000,Melhor,25.91979200
100000,Melhor,26.07408700
100000,Melhor,26.07571800
100000,Melhor,26.08573600
100000,Melhor,26.39139200
100000,Melhor,26.08344100
100000,Melhor,26.77674400
100000,Melhor,29.35118300
100000,Melhor,27.54581600
100000,Melhor,29.08843800
100000,Melhor,27.48712200
100000,Melhor,27.34888200
100000,Melhor,27.51232500
100000,Melhor,27.47060200
100000,Melhor,27.17030400
100000,Melhor,34.37711000
100000,Melhor,34.97073000
100000,Melhor,29.86329800
100000,Melhor,36.41070200
100000,Melhor,29.57089100
100000,Melhor,33.22228400
100000,Melhor,35.21086000
100000,Melhor,28.31649600
100000,Medio,47.46928000
100000,Medio,46.44136800
100000,Medio,47.16114200
100000,Medio,46.90747200
100000,Medio,53.72097500
100000,Medio,46.47849800
100000,Medio,44.30782100
100000,Medio,44.75491800
100000,Medio,44.65922900
100000,Medio,44.02776400
100000,Medio,45.15852900
100000,Medio,44.63194600
100000,Medio,43.97561900
100000,Medio,45.17785600
100000,Medio,67.01791800
100000,Medio,45.48747100
100000,Medio,44.01973500
100000,Medio,43.78335100
100000,Medio,44.43704900
100000,Medio,44.30265700
100000,Medio,46.19680200
100000,Medio,44.76413400
100000,Medio,44.84234500
100000,Medio,45.10027100
100000,Medio,47.25890700
100000,Medio,44.56712300
100000,Medio,44.46497200
100000,Medio,44.98832900
100000,Medio,44.57843700
100000,Medio,45.14018300
100000,Pior,26.14387300
100000,Pior,31.26198100
100000,Pior,26.22015400
100000,Pior,27.89226400
100000,Pior,26.94257300
100000,Pior,28.02975300
100000,Pior,27.16064600
100000,Pior,30.38568200
100000,Pior,29.13665300
100000,Pior,29.07873600
100000,Pior,28.72604000
100000,Pior,28.79554200
100000,Pior,32.84780600
100000,Pior,31.32836600
100000,Pior,40.65155500
100000,Pior,29.48091800
100000,Pior,27.53746600
100000,Pior,27.88061300
100000,Pior,28.09038600
100000,Pior,27.70945600
100000,Pior,27.69647800
100000,Pior,27.53751900
100000,Pior,27.84731200
100000,Pior,27.55810300
100000,Pior,27.55098500
100000,Pior,27.94131500
100000,Pior,28.13907200
100000,Pior,27.60982100
100000,Pior,27.67441000
100000,Pior,28.05007300
